113,Tim Hardaway Jr.,400,ATL,1 yr/$2.3M  $3.3M QO 2017,2281605,2281605,3335707,,,,,,,,,,,2,TRUE,,,TRUE,FALSE,,,,Zach Kurtin,Priority Sports & Entertainment,,$6.0M
114,BRK 2017 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Thabo Sefolosha,400,ATL,1 yr/$3.9M,3850000,3850000,,,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,,,,$18.9M
116,Malcolm Delaney,400,ATL,2 yrs/$5M  $3.1M QO 2018,2500000,2500000,2500000,2500000,3125000,,,,,,,,,3,TRUE,,,TRUE,,,,,Andrew Vye,ASM Sports,,
117,Isaia Cordinier,400,ATL,Rights held: Antibes,,,,,,,,,,,,,,,,,,,,,,,Steven Heumann,CAA Sports,,
118,Mike Muscala,400,ATL,1 yr/$1M (NG),1015696,,,,,,,,,,,,,,TRUE,,,TRUE,FALSE,,,,Michael Lindeman,Excel Sports Management,,$13.6M
119,Ersan Ilyasova,400,ATL,1 yr/$8.4M,8400000,8400000,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Andy Miller,ASM Sports,,$12.9M
120,Marcus Eriksson,400,ATL,Rigths held: Barcelona,,,,,,,,,,,,,,,,,,,,,,,Juan Aisa & Pere Gallego,You First Sports,,
121,Dimitrios Agravanis,400,ATL,Rights held: Olympiacos,,,,,,,,,,,,,,,,,,,,,,,Alex Saratsis,Octagon,,
122,Worst of ATL(31-55)/DET/GSW/NYK/UTH 2017 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Kris Humphries,400,ATL,1 yr/$4M,4000000,4000000,,,,,,,,,,,,,,,,,TRUE,,,,Jason Ranne,Wasserman Media Group,,-$2.7M
124,ATL 2018 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,WAS 2019 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,ATL 2019 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,ATL 2020 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,ATL 2021 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,ATL 2022 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,ATL 2023 2nd,400,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Lamar Patterson,400,ATL,Second 10-day (Feb. 8),,,,,,,,,,,,,,,,,,,,,,,,,,
132,Mike Dunleavy,400,ATL,1 yr/$4.8M  $5.2M NG 2017,4837500,4837500,5175000,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,$1.3M
133,Sergiy Gladyr,400,ATL,Rights held: Monaco,,,,,,,,,,,,,,,,,,,,,,,Bouna Ndiaye,Comsport,,
134,Avery Bradley,400,BOS,2 yrs/$17.1M,8269663,8269663,8808989,8808989,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,$35.5M
135,MEM 2019 1st (9-30  7-30 2020  else 2021  conveyable 2 yrs after DEN receives MEM 2017 1st (6-30 through 2018  else 2019),400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,BOS 2021 1st,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,BOS 2022 1st,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,BOS 2023 1st,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,BOS 2020 1st,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Ante Zizic,400,BOS,Rights held: Cigona Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,,
141,BOS 2018 1st,400,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
